campaign,form,target,n,sd,R2,RMSECV,RPD
TK2023,powder,Brightness,92,0.8943704328152419,-0.08171471182278574,0.9248131690814568,0.9670822850668841
TK2023,powder,Briskness,92,0.953703145345025,0.04009029237400815,0.9284028623323107,1.027251405655036
TK2023,powder,Strength,92,0.9333210331817532,-0.037686690176557715,0.9453721893110444,0.9872524744586852
TK2023,powder,Quality,92,0.9594221813786447,0.029593592293124266,0.9385921001209766,1.0221929006806931
TK2023,powder,Average,92,0.8944398776310278,0.02839575120372495,0.8753259256677369,1.021836382772177
TK2026,granule,Brightness,60,1.2581934856998853,0.05252176039197457,1.2141925303814036,1.036238861809387
TK2026,granule,Briskness,60,1.2114099736644837,-0.2086870196574185,1.3206781508263916,0.9172635837932692
TK2026,granule,Strength,60,0.9476405430700275,-0.02902233523574534,0.9530532408369977,0.9943206763955635
TK2026,granule,Colour,60,1.534812600128799,-0.12433133244601817,1.6130278179259339,0.9515103106543409
TK2026,granule,Quality,60,1.393589033926511,-0.2330435475422168,1.5341626576761875,0.9083711084699422
TK2026,granule,TasterScore,59,27.082735760465308,-0.0885979798274777,28.00991691870416,0.9668981110893724
TK2026,granule,TenPoint,60,5.737452534175851,-0.009272555728875975,5.714874213538057,1.0039507992291954
DH2023,powder,L,48,0.3717351970658531,-0.0026300207019252695,0.36830907040831623,1.0093023140965238
DH2023,powder,I,48,0.44909286028962936,0.14803774909429776,0.41013878051849145,1.0949778017135876
DH2023,powder,Q,48,0.38071880503941263,-0.14243824336066843,0.4012862049809261,0.9487463070341751
DH2023,granule,L,48,0.3717351970658531,-0.19423261991501514,0.40188690133468546,0.9249746528968794
DH2023,granule,I,48,0.44909286028962936,-0.17232993683471717,0.48049440394695303,0.9346474310639621
DH2023,granule,Q,48,0.38071880503941263,-0.4718973869281579,0.45458293961988927,0.8375123038224005
