target,model,R2_scans_split_randomly,R2_samples_held_out
Quality,KNN (k=3),0.8127997978578994,-0.025894878898570672
Quality,PLSR (10 LV),0.3447672397017444,0.08920513473218317
Average,KNN (k=3),0.7899498690364035,-0.09165191470287648
Average,PLSR (10 LV),0.3452590324600422,0.10852150205042566
